No.,Cu,Sn,Zn,Ni,Pb,P,Mg,UTS (MPa),EC (%IACS)
1,90,0,10,0,0,0,0,270,44
2,87.5,0,12.5,0,0,0,0,290,40
3,85,0,15,0,0,0,0,295,37
4,80,0,20,0,0,0,0,330,32
5,70,0,30,0,0,0,0,350,28
6,65,0,35,0,0,0,0,350,27
7,95,1,4,0,0,0,0,280,41
8,95,2,3,0,0,0,0,305,37
9,91,0.5,8.5,0,0,0,0,280,32
10,87.5,11.4,1.1,0,0,0,0,305,31
11,64.5,0,33.5,0,0.2,0,0,360,26
12,85,0.7,14.3,0,0,0,0,315,31
13,94.8,5,0,0,0,0.2,0,345,20
14,95.6,4.2,0,0,0,0.2,0,345,20
15,92,8,0,0,0,0,0,415,13
16,88,4,4,0,4,0,0,345,19
17,65,0,25,10,0,0,0,385,9
18,65,0,20,15,0,0,0,405,7
19,62,0,36.2,0,1.8,0,0,360,26
20,81,0.9,18.1,0,0,0,0,340,28
21,65,0,34,0,1,0,0,350,26
22,88.5,2,9.5,0,0,0,0,315,28
23,65,0,23,12,0,0,0,405,8
24,65.8,0,34.1,0,0.1,0,0,350,27
25,62.5,0,36.4,0,1.1,0,0,330,26
26,66,0,32.4,0,1.6,0,0,360,26
27,99.6,0,0,0,0,0,0.4,241,72
